Name,Age,Nationality,Club,Value,Preferred_Foot,Jersey_Number,Height,Weight,Best_Position,Contract_Valid_Until,name_coach,avg_term_as_coach
L. Goretzka,26,Germany,FC Bayern ,€93M,Right,8,189cm,82kg,CM,2026,Julian Nagelsmann,2.00 Years
J. Kimmich,26,Germany,FC Bayern ,€108M,Right,6,177cm,75kg,CDM,2025,Julian Nagelsmann,2.00 Years
M. Sabitzer,27,Austria,FC Bayern ,€48M,Right,18,178cm,76kg,CM,2025,Julian Nagelsmann,2.00 Years
R. Lewandowski,32,Poland,FC Bayern ,€119.5M,Right,9,185cm,81kg,ST,2023,Julian Nagelsmann,2.00 Years
C. Tolisso,26,France,FC Bayern ,€24.5M,Right,24,181cm,81kg,CM,2022,Julian Nagelsmann,2.00 Years
17 P. Lahm,32,Germany,FC Bayern ,€29.5M,Right,21,170cm,66kg,RWB,2018,Julian Nagelsmann,2.00 Years
T. Müller,31,Germany,FC Bayern ,€66M,Right,25,185cm,76kg,CAM,2023,Julian Nagelsmann,2.00 Years
A. Davies,20,Canada,FC Bayern ,€57M,Left,19,183cm,75kg,LB,2025,Julian Nagelsmann,2.00 Years
S. Gnabry,25,Germany,FC Bayern ,€64.5M,Right,7,176cm,77kg,RM,2023,Julian Nagelsmann,2.00 Years
L. Sané,25,Germany,FC Bayern ,€56M,Left,10,183cm,80kg,ST,2025,Julian Nagelsmann,2.00 Years
B. Sarr,29,France,FC Bayern ,€4.9M,Right,20,177cm,69kg,RB,2024,Julian Nagelsmann,2.00 Years
17 Xabi Alonso,34,Spain,FC Bayern ,€6M,Right,14,183cm,80kg,CM,2017,Julian Nagelsmann,2.00 Years
21 Douglas Costa,29,Brazil,FC Bayern ,€20.5M,Left,11,172cm,75kg,LM,30-Jun-21,Julian Nagelsmann,2.00 Years
L. Hernández,25,France,FC Bayern ,€44.5M,Left,21,184cm,79kg,CB,2024,Julian Nagelsmann,2.00 Years
B. Pavard,25,France,FC Bayern ,€21.5M,Right,5,186cm,81kg,RB,2024,Julian Nagelsmann,2.00 Years
K. Coman,25,France,FC Bayern ,€81M,Right,11,180cm,76kg,LM,2023,Julian Nagelsmann,2.00 Years
M. Cuisance,21,France,FC Bayern ,€7M,Left,17,181cm,74kg,CAM,2024,Julian Nagelsmann,2.00 Years
Marc Roca,24,Spain,FC Bayern ,€14.5M,Left,22,184cm,77kg,CM,2025,Julian Nagelsmann,2.00 Years
E. Choupo-Moting,32,Cameroon,FC Bayern ,€6M,Right,13,191cm,90kg,ST,2023,Julian Nagelsmann,2.00 Years
D. Upamecano,22,France,FC Bayern ,€64M,Right,2,186cm,90kg,CB,2026,Julian Nagelsmann,2.00 Years
21 Javi Martínez,31,Spain,FC Bayern ,€10M,Right,8,189cm,89kg,CB,2021,Julian Nagelsmann,2.00 Years
O. Richards,23,England,FC Bayern ,€9M,Left,3,174cm,74kg,LB,2025,Julian Nagelsmann,2.00 Years
J. Musiala,18,Germany,FC Bayern ,€17.5M,Right,42,180cm,68kg,CAM,2026,Julian Nagelsmann,2.00 Years
N. Süle,25,Germany,FC Bayern ,€40.5M,Right,4,195cm,99kg,CB,2022,Julian Nagelsmann,2.00 Years
T. Booth,20,United States,FC Bayern ,€950K,Right,37,174cm,66kg,CAM,2022,Julian Nagelsmann,2.00 Years
T. Nianzou,19,France,FC Bayern ,€4.2M,Right,23,187cm,83kg,CB,2024,Julian Nagelsmann,2.00 Years
21 M. Zaiser,21,Germany,FC Bayern ,€925K,Right,18,176cm,68kg,CDM,2021,Julian Nagelsmann,2.00 Years
O. Batista Meier,20,Germany,FC Bayern ,€1.7M,Right,45,178cm,67kg,CAM,2023,Julian Nagelsmann,2.00 Years
21 C. Scott,18,Germany,FC Bayern ,€900K,Right,24,174cm,71kg,CAM,2022,Julian Nagelsmann,2.00 Years
M. Neuer,35,Germany,FC Bayern ,€13.5M,Right,1,193cm,93kg,GK,2023,Julian Nagelsmann,2.00 Years
21 B. Arrey-Mbi,17,Germany,FC Bayern ,€1.2M,Left,26,187cm,76kg,CB,2022,Julian Nagelsmann,2.00 Years
