,0
0,FC Bayern 
1,Atlético Madrid
2,Man City
3,Sevilla FC
4,Paris SG
5,Bor. Dortmund
6,Real Madrid
7,Real Sociedad
8,Inter
9,Juventus
10,Everton
11,E. Frankfurt
12,Liverpool
13,Lazio
14,LOSC Lille
15,Real Betis
16,Chelsea
17,AS Roma
18,Olympique Lyon
19,AC Milan
20,Atalanta BC
21,Valencia
22,Leicester
23,Bay. Leverkusen
24,Athletic
25,Cagliari Calcio
26,Wolves
27,Villarreal
28,Arsenal
29,Bor. M'gladbach
30,Southampton
31,Fiorentina
32,Watford
33,Montpellier
34,Marseille
35,FC Augsburg
36,Stade Rennais
37,Rayo Vallecano
38,SSC Napoli
39,West Ham
40,Bologna
41,OGC Nice
42,TSG Hoffenheim
43,Brighton
44,Hellas Verona
45,Torino
46,Getafe
47,Espanyol
48,Burnley
49,Leeds
50,Celta de Vigo
51,CA Osasuna
52,FC Nantes
53,Granada CF
54,Salernitana
55,G. Bordeaux
56,SCO Angers
57,Sampdoria
58,Newcastle
59,R. Strasbourg
60,Norwich
61,Stade Brestois
62,Lens
63,Stade Reims
64,Sassuolo
65,Crystal Palace
66,Cádiz CF
67,RCD Mallorca
68,1. FC Köln
69,VfB Stuttgart
70,Union Berlin
71,Greuther Fürth
72,Spezia Calcio
73,FC Empoli
74,Venezia
75,1.FSV Mainz 05
76,Brentford
77,Clermont Foot
78,VfL Bochum
79,FC Metz
80,FC Lorient
81,Arm. Bielefeld
82,SC Freiburg
