,0
0,8
1,6
2,18
3,9
4,24
5,21
6,25
7,19
8,7
9,10
10,20
11,14
12,11
13,5
14,17
15,22
16,13
17,2
18,3
19,42
20,4
21,37
22,23
23,45
24,1
25,26
26,44
27,40
28,41
29,36
30,12
31,16
32,15
33,34
34,30
35,38
36,27
37,32
38,28
39,47
40,51
41,74
42,80
43,31
44,88
45,82
46,90
47,87
48,48
49,56
50,53
51,79
52,70
53,33
54,29
55,35
56,39
57,50
58,60
59,77
60,83
61,95
62,81
63,49
64,97
65,93
66,46
67,91
68,57
69,43
70,66
71,67
72,76
73,52
74,54
75,89
76,62
77,63
78,96
79,94
80,99
81,92
82,55
83,61
84,59
85,65
86,64
87,72
88,98
89,78
90,75
91,68
92,85
93,69
94,86
95,58
