,0
0,Germany
1,Austria
2,Poland
3,France
4,Canada
5,Spain
6,Brazil
7,Cameroon
8,England
9,United States
10,Croatia
11,Uruguay
12,Argentina
13,Mexico
14,Central African Republic
15,Belgium
16,Portugal
17,Montenegro
18,Serbia
19,Colombia
20,Slovenia
21,Ukraine
22,Algeria
23,Netherlands
24,Senegal
25,Ghana
26,Denmark
27,Sweden
28,Morocco
29,Italy
30,Burkina Faso
31,Côte d'Ivoire
32,Costa Rica
33,Norway
34,Switzerland
35,Iceland
36,Turkey
37,Latvia
38,Wales
39,Dominican Republic
40,Paraguay
41,Japan
42,Australia
43,Chile
44,Bosnia and Herzegovina
45,Romania
46,Slovakia
47,Republic of Ireland
48,Venezuela
49,Curacao
50,Nigeria
51,Mali
52,Egypt
53,Scotland
54,Guinea
55,Greece
56,Albania
57,Kosovo
58,Mozambique
59,Angola
60,Togo
61,Peru
62,Northern Ireland
63,Finland
64,Armenia
65,Uzbekistan
66,Gambia
67,Zimbabwe
68,Russia
69,Georgia
70,Zambia
71,Thailand
72,Jamaica
73,Czech Republic
74,Ecuador
75,Korea DPR
76,Estonia
77,Korea Republic
78,China PR
79,Qatar
80,Gabon
81,North Macedonia
82,Guyana
83,Congo
84,Congo DR
85,Bulgaria
86,Israel
87,South Africa
88,Tunisia
89,Hungary
90,New Zealand
91,Equatorial Guinea
92,Cyprus
93,Honduras
94,Macau
95,Chad
96,Liberia
97,South Sudan
98,Benin
99,Comoros
100,Guinea Bissau
101,Suriname
102,Lithuania
103,Luxembourg
104,Iran
105,Grenada
106,Uganda
107,Philippines
108,Madagascar
109,Panama
110,Faroe Islands
