,0
0,2.00 Years
1,2.09 Years
2,3.38 Years
3,1.77 Years
4,2.93 Years
5,1.50 Years
6,2.28 Years
7,1.92 Years
8,UEFA Pro Licence
9,1.91 Years
10,1.52 Years
11,5.40 Years
12,1.15 Years
13,2.12 Years
14,1.79 Years
15,1.20 Years
16,2.77 Years
17,1.57 Years
18,2.02 Years
19,1.60 Years
20,1.64 Years
21,1.31 Years
22,2.03 Years
23,2.05 Years
24,1.89 Years
25,0.88 Years
26,1.30 Years
27,2.20 Years
28,1.22 Years
29,1.97 Years
30,1.75 Years
31,1.03 Years
32,1.44 Years
33,3.23 Years
34,3.86 Years
35,3.65 Years
36,0.74 Years
37,0.84 Years
38,1.45 Years
39,2.06 Years
40,4.07 Years
41,1.83 Years
42,1.29 Years
43,2.38 Years
44,1.93 Years
45,0.44 Years
46,1.11 Years
47,2.35 Years
48,1.39 Years
49,1.54 Years
50,0.51 Years
51,2.21 Years
52,2.75 Years
53,2.26 Years
54,0.79 Years
55,0.98 Years
56,1.18 Years
57,4-2-3-1
58,1.51 Years
59,2.10 Years
60,1.63 Years
61,0.56 Years
62,0.89 Years
63,1.12 Years
64,2.11 Years
65,4.06 Years
66,1.38 Years
67,2.50 Years
68,3.81 Years
69,1.23 Years
70,8.68 Years
