,0
0,Julian Nagelsmann
1,Diego Simeone
2,Pep Guardiola
3,Julen Lopetegui
4,Mauricio Pochettino
5,Marco Rose
6,Carlo Ancelotti
7,Imanol Alguacil
8,Simone Inzaghi
9,Massimiliano Allegri
10,Rafael Benítez
11,Oliver Glasner
12,Jürgen Klopp
13,Maurizio Sarri
14,Jocelyn Gourvennec
15,Manuel Pellegrini
16,Thomas Tuchel
17,José Mourinho
18,Peter Bosz
19,Stefano Pioli
20,Gian Piero Gasperini
21,Pepe Bordalás
22,Brendan Rodgers
23,Gerardo Seoane
24,Marcelino
25,Walter Mazzarri
26,Bruno Lage
27,Unai Emery
28,Mikel Arteta
29,Adi Hütter
30,Ralph Hasenhüttl
31,Vincenzo Italiano
32,Claudio Ranieri
33,Olivier Dall'Oglio
34,Jorge Sampaoli
35,Markus Weinzierl
36,Bruno Génésio
37,Andoni Iraola
38,Luciano Spalletti
39,David Moyes
40,Sinisa Mihajlovic
41,Christophe Galtier
42,Sebastian Hoeneß
43,Graham Potter
44,Igor Tudor
45,Ivan Juric
46,Quique Sánchez Flores
47,Vicente Moreno
48,Sean Dyche
49,Marcelo Bielsa
50,Eduardo Coudet
51,Jagoba Arrasate
52,Antoine Kombouaré
53,Robert Moreno
54,Stefano Colantuono
55,Vladimir Petkovic
56,Gérald Baticle
57,Roberto D'Aversa
58,Graeme Jones
59,Julien Stéphan
60,Dean Smith
61,Michel Der Zakarian
62,Franck Haise
63,Óscar García
64,Alessio Dionisi
65,Patrick Vieira
66,Álvaro Cervera
67,Luis García
68,Steffen Baumgart
69,Pellegrino Matarazzo
70,Urs Fischer
71,Stefan Leitl
72,Thiago Motta
73,Aurelio Andreazzoli
74,Paolo Zanetti
75,Bo Svensson
76,Thomas Frank
77,Pascal Gastien
78,Thomas Reis
79,Frédéric Antonetti
80,Christophe Pélissier
81,Frank Kramer
82,Christian Streich
